CSDNAME,Latitude,Longitude,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type
South Glengarry,45.2561615,-74.5953852,Apartment,1425.0,2.0,1.0,0,1.0,1.0,950.0,2.0
South Glengarry,45.1920027,-74.3746039,Apartment,1100.0,2.0,1.0,0,0.0,1.0,780.0,2.0
South Glengarry,45.143726,-74.502708,House,1200.0,2.0,1.5,0,0.0,1.0,900.0,2.0
South Glengarry,45.059039,-74.558464,Apartment,1695.0,1.0,1.0,1,1.0,1.0,850.0,2.0
South Glengarry,45.1359806,-74.6195878,Apartment,1095.0,1.0,1.0,0,0.0,1.0,600.0,2.0
South Stormont,45.030398,-74.890559,Apartment,1400.0,2.0,1.0,0,0.0,1.0,900.0,2.0
South Stormont,45.030398,-74.890559,Apartment,1000.0,1.0,1.0,0,0.0,1.0,800.0,2.0
South Stormont,45.030398,-74.890559,Apartment,1200.0,2.0,1.0,0,0.0,1.0,500.0,2.0
South Stormont,45.030398,-74.890559,Apartment,1400.0,2.0,1.0,0,0.0,1.0,900.0,2.0
South Stormont,44.9988604,-74.9855072,Apartment,895.0,1.0,1.0,0,0.0,1.0,440.0,2.0
Cornwall,45.0524693,-74.7612806,House,1850.0,4.0,2.0,0,0.0,1.0,900.0,2.0
Cornwall,45.0319536,-74.7594173,Apartment,1380.0,0.5,1.0,0,1.0,1.0,695.0,2.0
Cornwall,45.0319536,-74.7594173,Apartment,1125.0,0.5,1.0,0,1.0,1.0,460.0,2.0
Cornwall,45.0319536,-74.7594173,Apartment,1235.0,1.0,1.0,0,1.0,1.0,628.0,2.0
Cornwall,45.0291457,-74.7054177,Apartment,1550.0,2.0,1.0,0,1.0,1.0,785.0,2.0
Cornwall,45.0281161,-74.7443444,Duplex/Triplex,1600.0,2.0,1.0,0,0.0,1.0,700.0,2.0
Cornwall,45.0278717,-74.6964392,Apartment,2000.0,2.0,1.0,1,1.0,0.0,790.0,1.0
Cornwall,45.0270639,-74.6953765,Apartment,1000.0,1.0,1.0,1,1.0,1.0,450.0,1.0
Cornwall,45.0242035,-74.7199421,Apartment,1495.0,1.0,1.0,1,1.0,1.0,750.0,2.0
Cornwall,45.0235896,-74.7104539,Apartment,1395.0,2.0,1.0,0,0.0,1.0,700.0,1.0
Cornwall,45.0227099,-74.694051,Apartment,1000.0,2.0,1.0,1,1.0,1.0,600.0,1.0
Cornwall,45.022168,-74.705399,Duplex/Triplex,1300.0,2.0,1.0,0,0.0,1.0,800.0,2.0
Cornwall,45.021263,-74.7070903,Duplex/Triplex,1300.0,2.0,1.0,0,0.0,1.0,800.0,2.0
Cornwall,45.0198271,-74.737017,House,1475.0,2.0,1.0,0,0.0,0.0,980.0,2.0
Cornwall,45.0198271,-74.737017,House,1475.0,2.0,1.0,0,0.0,0.0,950.0,2.0
Cornwall,45.0184372,-74.7141308,Apartment,1350.0,1.0,1.0,1,1.0,1.0,800.0,2.0
Cornwall,45.0176347,-74.7419153,Apartment,1300.0,2.0,1.0,0,0.0,1.0,900.0,1.0
Cornwall,45.0137484,-74.7354197,Apartment,1350.0,1.0,1.0,0,0.0,1.0,500.0,2.0
Cornwall,45.027105,-74.728607,Apartment,1850.0,3.0,1.0,1,1.0,1.0,900.0,2.0
Cornwall,45.023804,-74.694923,Apartment,1200.0,2.0,1.0,0,0.0,1.0,800.0,2.0
Cornwall,45.025508,-74.697466,Apartment,1300.0,2.0,1.0,1,1.0,0.0,850.0,2.0
