CSDUID,Population,CSDNAME,Latitude,Longitude,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type
3501042,7828,North Stormont,45.2452887,-75.001594,3.0,"$1,825",Bedrooms: 2,Bathrooms: 1,N,1.0,Y,"1,000",1 Year
3501042,7828,North Stormont,45.1234837,-75.0924985,6.0,"$1,800",Bedrooms: 3,Bathrooms: 2,N,0.0,Y,"1,850",1 Year
3502010,9044,Champlain,45.6192681,-74.6928116,1.0,$975,Bedrooms: 1,Bathrooms: 1,N,1.0,Y,700,1 Year
3502010,9044,Champlain,45.6192681,-74.6928116,1.0,"$1,050",Bedrooms: 2,Bathrooms: 1,N,1.0,Y,800,1 Year
3502010,9044,Champlain,45.6055087,-74.5782132,4.0,"$1,650",Bedrooms: 2,Bathrooms: 1.5,N,0.0,N,"1,120",1 Year
3502010,9044,Champlain,45.5196512,-74.6522016,1.0,"$1,150",Bedrooms: 1,Bathrooms: 1,N,0.0,Y,1,1 Year
3502010,9044,Champlain,45.6192681,-74.6928116,1.0,$900,Bedrooms: 2,Bathrooms: 1,N,0.0,Y,800,Month-to-month
3502010,9044,Champlain,45.6192681,-74.6928116,1.0,$975,Bedrooms: 1,Bathrooms: 1,N,1.0,Y,700,1 Year
3502044,3920,Casselman,45.3157884,-75.0897204,1.0,"$1,300",Bedrooms: 2,Bathrooms: 1,N,0.0,N,725,1 Year
3502044,3920,Casselman,45.3107048,-75.0893653,1.0,"$2,500",Bedrooms: 2,Bathrooms: 1.5,Y,1.0,Y,"1,000",Month-to-month
3502044,3920,Casselman,45.3107048,-75.0893653,1.0,"$1,650",Bedrooms: 3,Bathrooms: 1,N,0.0,N,"1,300",1 Year
3502044,3920,Casselman,45.3200344,-75.0827344,1.0,"$1,975",Bedrooms: 3 + Den,Bathrooms: 1,N,0.0,Y,"1,270",1 Year
3502044,3920,Casselman,45.3107048,-75.0893653,1.0,"$2,250",Bedrooms: 2,Bathrooms: 1.5,Y,1.0,Y,"1,000",Month-to-month
3502044,3920,Casselman,45.3107048,-75.0893653,2.0,"$2,850",Bedrooms: 4,Bathrooms: 2.5,N,0.0,N,"2,400",1 Year
