CSDUID,Population,Latitude,Longitude,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type
3502010,9044,45.6192681,-74.6928116,1.0,975.0,1.0,1.0,0.0,1.0,1.0,700.0,2.0
3502010,9044,45.6192681,-74.6928116,1.0,1050.0,2.0,1.0,0.0,1.0,1.0,800.0,2.0
3502010,9044,45.6192681,-74.6928116,1.0,900.0,2.0,1.0,0.0,0.0,1.0,800.0,1.0
3502010,9044,45.6192681,-74.6928116,1.0,975.0,1.0,1.0,0.0,1.0,1.0,700.0,2.0
3502044,3920,45.3157884,-75.0897204,1.0,1300.0,2.0,1.0,0.0,0.0,0.0,725.0,2.0
3507008,4647,44.709294,-75.518972,1.0,1400.0,2.0,1.0,1.0,1.0,1.0,550.0,2.0
3507008,4647,44.7132253,-75.5136699,6.0,1800.0,2.0,1.0,0.0,0.0,0.0,650.0,2.0
3507008,4647,44.7082421,-75.5184331,2.0,1525.0,2.0,1.0,1.0,0.0,0.0,900.0,2.0
3507014,9871,44.6282791,-75.7649202,1.0,895.0,1.0,1.0,0.0,0.0,1.0,700.0,2.0
3507014,9871,44.5764035,-75.7841209,1.0,1800.0,2.0,1.0,0.0,0.0,1.0,870.0,2.0
3507014,9871,44.6749919,-75.7333365,6.0,1400.0,2.0,1.0,0.0,0.0,1.0,500.0,1.0
3507021,9635,44.3719057,-76.01635,2.0,1850.0,2.0,1.0,0.0,0.0,0.0,850.0,2.0
3507024,5524,44.3300472,-76.1649044,1.0,2200.0,2.0,1.0,1.0,1.0,1.0,900.0,1.0
3507024,5524,44.327181,-76.1701288,1.0,1350.0,2.0,1.0,0.0,0.0,0.0,900.0,2.0
3507024,5524,44.3363949,-76.1527723,1.0,2000.0,2.0,1.0,0.0,0.0,0.0,850.0,2.0
3507024,5524,44.3303201,-76.1705373,2.0,1980.0,2.0,1.0,0.0,0.0,0.0,900.0,1.0
3509004,9376,44.9048938,-76.0213512,1.0,1300.0,2.0,1.0,0.0,0.0,1.0,600.0,2.0
3509004,9376,44.9037324,-76.0211055,1.0,1250.0,1.0,1.0,0.0,0.0,1.0,700.0,2.0
3509004,9376,44.9021881,-76.0178453,1.0,1599.0,2.5,1.0,0.0,0.0,1.0,875.0,2.0
3509004,9376,44.9021881,-76.0178453,1.0,1599.0,2.0,1.0,0.0,0.0,1.0,875.0,2.0
3509004,9376,44.9021881,-76.0178453,1.0,1300.0,1.0,1.0,0.0,0.0,1.0,750.0,2.0
3509004,9376,44.900114,-76.016722,1.0,1700.0,2.0,1.0,0.0,1.0,1.0,900.0,2.0
3509004,9376,44.8917203,-76.0160992,1.0,1800.0,2.0,1.0,0.0,1.0,1.0,700.0,2.0
3509004,9376,44.8935346,-76.0227903,1.0,1050.0,0.5,1.0,0.0,0.0,1.0,450.0,2.0
3509004,9376,44.8863304,-76.0198572,1.0,1950.0,2.0,1.0,1.0,1.0,1.0,900.0,2.0
3509004,9376,44.9003249,-76.0209583,1.0,1500.0,2.0,1.0,0.0,1.0,1.0,650.0,2.0
3509004,9376,44.8993491,-76.014123,1.0,1650.0,1.0,1.0,0.0,0.0,0.0,575.0,2.0
